[2025-06-11 15:15:13,999] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:15:14,000] [INFO] [conversation_evaluator] ✅ Conversation 12 evaluation complete - Accuracy: 1.00
[2025-06-11 15:15:14,000] [INFO] [conversation_evaluator] 📊 Processing conversation 13/15
[2025-06-11 15:15:14,000] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 13
[2025-06-11 15:15:20,474] [INFO] [conversation_evaluator] ✅ Conversation 13 evaluation complete - Accuracy: 0.50
[2025-06-11 15:15:20,474] [INFO] [conversation_evaluator] 📊 Processing conversation 14/15
[2025-06-11 15:15:20,475] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 14
[2025-06-11 15:15:26,160] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:15:26,161] [INFO] [conversation_evaluator] ✅ Conversation 14 evaluation complete - Accuracy: 1.00
[2025-06-11 15:15:26,161] [INFO] [conversation_evaluator] 📊 Processing conversation 15/15
[2025-06-11 15:15:26,162] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 15
[2025-06-11 15:15:33,456] [INFO] [conversation_evaluator] ✅ Conversation 15 evaluation complete - Accuracy: 0.50
[2025-06-11 15:16:43,024] [INFO] [conversation_evaluator] 📄 Report saved to evaluation_report.md
[2025-06-11 16:12:58,347] [INFO] [conversation_evaluator] ✅ Loaded 15 conversations from app/sms_conversations.json
[2025-06-11 16:13:03,000] [INFO] [conversation_evaluator] ✅ Successfully imported app components
[2025-06-11 16:13:03,000] [INFO] [conversation_evaluator] 🚀 Starting evaluation of 15 conversations
[2025-06-11 16:13:03,000] [INFO] [conversation_evaluator] 📊 Processing conversation 1/15
[2025-06-11 16:13:03,000] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 1
[2025-06-11 16:13:19,862] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:13:19,862] [INFO] [conversation_evaluator] ✅ Conversation 1 evaluation complete - Accuracy: 1.00
[2025-06-11 16:13:19,862] [INFO] [conversation_evaluator] 📊 Processing conversation 2/15
[2025-06-11 16:13:19,862] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 2
[2025-06-11 16:13:32,952] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:13:32,952] [INFO] [conversation_evaluator] ✅ Conversation 2 evaluation complete - Accuracy: 1.00
[2025-06-11 16:13:32,953] [INFO] [conversation_evaluator] 📊 Processing conversation 3/15
[2025-06-11 16:13:32,953] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 3
[2025-06-11 16:13:50,458] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:13:50,459] [INFO] [conversation_evaluator] ✅ Conversation 3 evaluation complete - Accuracy: 1.00
[2025-06-11 16:13:50,459] [INFO] [conversation_evaluator] 📊 Processing conversation 4/15
[2025-06-11 16:13:50,459] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 4
[2025-06-11 16:14:07,833] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:14:07,834] [INFO] [conversation_evaluator] ✅ Conversation 4 evaluation complete - Accuracy: 1.00
[2025-06-11 16:14:07,834] [INFO] [conversation_evaluator] 📊 Processing conversation 5/15
[2025-06-11 16:14:07,834] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 5
[2025-06-11 16:14:16,759] [INFO] [conversation_evaluator] ✅ Conversation 5 evaluation complete - Accuracy: 0.50
[2025-06-11 16:14:16,760] [INFO] [conversation_evaluator] 📊 Processing conversation 6/15
[2025-06-11 16:14:16,760] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 6
[2025-06-11 16:14:30,802] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:14:30,803] [INFO] [conversation_evaluator] ✅ Conversation 6 evaluation complete - Accuracy: 1.00
[2025-06-11 16:14:30,803] [INFO] [conversation_evaluator] 📊 Processing conversation 7/15
[2025-06-11 16:14:30,803] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 7
[2025-06-11 16:14:45,270] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:14:45,270] [INFO] [conversation_evaluator] ✅ Conversation 7 evaluation complete - Accuracy: 1.00
[2025-06-11 16:14:45,270] [INFO] [conversation_evaluator] 📊 Processing conversation 8/15
[2025-06-11 16:14:45,270] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 8
[2025-06-11 16:14:55,989] [INFO] [conversation_evaluator] ✅ Conversation 8 evaluation complete - Accuracy: 0.67
[2025-06-11 16:14:55,989] [INFO] [conversation_evaluator] 📊 Processing conversation 9/15
[2025-06-11 16:14:55,989] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 9
[2025-06-11 16:15:19,421] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 16:15:19,421] [INFO] [conversation_evaluator] ✅ Conversation 9 evaluation complete - Accuracy: 1.00
[2025-06-11 16:15:19,422] [INFO] [conversation_evaluator] 📊 Processing conversation 10/15
[2025-06-11 16:15:19,422] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 10
[2025-06-11 16:15:40,189] [INFO] [conversation_evaluator] ✅ Conversation 10 evaluation complete - Accuracy: 0.67
